protein1,weight1,protein2,weight2
KRAS,-0.276560051,RASSF1,0.788741829
KRAS,-0.276560051,RASSF5,-0.447434291
KRAS,-0.276560051,RGL1,-0.75800198
KRAS,-0.276560051,RGL2,-0.297936955
KRAS,-0.276560051,RIN1,0.256990062
KRAS,-0.276560051,TIAM1,-0.803540494
LAT,0.592702764,PLCG1,0.985667734
LAT,0.592702764,PLCG2,0.3813217
MAP2K1,NA,MAPK1,0.336601987
MAP2K1,NA,MAPK3,-0.440141675
MAP2K2,NA,MAPK1,0.336601987
MAP2K2,NA,MAPK3,-0.440141675
MAPK1,0.336601987,ELK1,-0.384688276
MAPK1,0.336601987,ETS1,1.665115
MAPK1,0.336601987,ETS2,0.162095118
MAPK1,0.336601987,FOS,-1.000232203
MAPK1,0.336601987,JMJD7-PLA2G4B,-0.864465957
MAPK1,0.336601987,JUN,-0.241076412
MAPK1,0.336601987,MYC,0.798323913
MAPK1,0.336601987,PLA1A,0
MAPK1,0.336601987,PLA2G10,0
MAPK1,0.336601987,PLA2G12A,0.045521944
MAPK1,0.336601987,PLA2G12B,NA
MAPK1,0.336601987,PLA2G16,-2.107672156
MAPK1,0.336601987,PLA2G1B,NA
MAPK1,0.336601987,PLA2G2A,0.506974189
MAPK1,0.336601987,PLA2G2C,NA
MAPK1,0.336601987,PLA2G2D,0
MAPK1,0.336601987,PLA2G2E,NA
MAPK1,0.336601987,PLA2G2F,0
MAPK1,0.336601987,PLA2G3,0
MAPK1,0.336601987,PLA2G4A,0.060337847
MAPK1,0.336601987,PLA2G4B,0.148199576
MAPK1,0.336601987,PLA2G4C,-0.050539281
MAPK1,0.336601987,PLA2G4D,-0.229846052
MAPK1,0.336601987,PLA2G4E,0.911982158
MAPK1,0.336601987,PLA2G4F,0.591625517
MAPK1,0.336601987,PLA2G5,0
MAPK1,0.336601987,PLA2G6,0.153745202
MAPK1,0.336601987,RPS6KA1,-0.289065672
MAPK1,0.336601987,RPS6KA2,-0.354729263
MAPK1,0.336601987,RPS6KA3,-0.265721956
MAPK1,0.336601987,RPS6KA6,3.88095804
MAPK3,-0.440141675,ELK1,-0.384688276
MAPK3,-0.440141675,ETS1,1.665115
MAPK3,-0.440141675,ETS2,0.162095118
MAPK3,-0.440141675,FOS,-1.000232203
MAPK3,-0.440141675,JMJD7-PLA2G4B,-0.864465957
MAPK3,-0.440141675,JUN,-0.241076412
MAPK3,-0.440141675,MYC,0.798323913
MAPK3,-0.440141675,PLA1A,0
MAPK3,-0.440141675,PLA2G10,0
MAPK3,-0.440141675,PLA2G12A,0.045521944
MAPK3,-0.440141675,PLA2G12B,NA
MAPK3,-0.440141675,PLA2G16,-2.107672156
MAPK3,-0.440141675,PLA2G1B,NA
MAPK3,-0.440141675,PLA2G2A,0.506974189
MAPK3,-0.440141675,PLA2G2C,NA
MAPK3,-0.440141675,PLA2G2D,0
MAPK3,-0.440141675,PLA2G2E,NA
MAPK3,-0.440141675,PLA2G2F,0
MAPK3,-0.440141675,PLA2G3,0
MAPK3,-0.440141675,PLA2G4A,0.060337847
MAPK3,-0.440141675,PLA2G4B,0.148199576
MAPK3,-0.440141675,PLA2G4C,-0.050539281
MAPK3,-0.440141675,PLA2G4D,-0.229846052
MAPK3,-0.440141675,PLA2G4E,0.911982158
MAPK3,-0.440141675,PLA2G4F,0.591625517
MAPK3,-0.440141675,PLA2G5,0
MAPK3,-0.440141675,PLA2G6,0.153745202
MAPK3,-0.440141675,RPS6KA1,-0.289065672
MAPK3,-0.440141675,RPS6KA2,-0.354729263
MAPK3,-0.440141675,RPS6KA3,-0.265721956
MAPK3,-0.440141675,RPS6KA6,3.88095804
MET,0.350709328,SHC1,-0.559849835
MET,0.350709328,SHC2,0.151662673
MET,0.350709328,SHC3,NA
MET,0.350709328,SHC4,1.266013859
MRAS,-0.102015846,AFDN,NA
MRAS,-0.102015846,BRAP,0.247843626
MRAS,-0.102015846,PIK3CA,-0.22837288
MRAS,-0.102015846,PIK3CB,-0.480031588
MRAS,-0.102015846,PIK3CD,1.780892457
MRAS,-0.102015846,PIK3R1,-0.926754402
MRAS,-0.102015846,PIK3R2,0.594173286
MRAS,-0.102015846,PIK3R3,-1.356576978
MRAS,-0.102015846,PLCE1,1.039105166
MRAS,-0.102015846,RAF1,0.06969736
MRAS,-0.102015846,RALBP1,0.22739864
MRAS,-0.102015846,RALGDS,0.905743152
MRAS,-0.102015846,RAPGEF5,0.120670352
MRAS,-0.102015846,RASSF1,0.788741829
MRAS,-0.102015846,RASSF5,-0.447434291
MRAS,-0.102015846,RGL1,-0.75800198
MRAS,-0.102015846,RGL2,-0.297936955
MRAS,-0.102015846,RIN1,0.256990062
MRAS,-0.102015846,TIAM1,-0.803540494
NF1,0.001644556,HRAS,0.333133533
NF1,0.001644556,KRAS,-0.276560051
NF1,0.001644556,MRAS,-0.102015846
NF1,0.001644556,NRAS,-0.466307771
NF1,0.001644556,RRAS,0.542432796
NF1,0.001644556,RRAS2,0.287015314
NGF,0.477964067,CSF1R,-2.05165169
NGF,0.477964067,EGFR,0.643740489
NGF,0.477964067,EPHA2,0.067132003
NGF,0.477964067,FGFR1,-0.015774318
NGF,0.477964067,FGFR2,2.204049045
NGF,0.477964067,FGFR3,1.019104537
NGF,0.477964067,FGFR4,-0.557650181
NGF,0.477964067,FLT1,1.434221911
NGF,0.477964067,FLT3,NA
NGF,0.477964067,FLT4,-0.198522555
NGF,0.477964067,IGF1R,0.344622854
NGF,0.477964067,INSR,1.392819227
NGF,0.477964067,KDR,-1.315089547
NGF,0.477964067,KIT,-1.127856621
NGF,0.477964067,MET,0.350709328
NGF,0.477964067,NGFR,2.02994455
NGF,0.477964067,NTRK1,0.185317797
NGF,0.477964067,NTRK2,1.856651425
NGF,0.477964067,PDGFRA,-0.430047797
NGF,0.477964067,PDGFRB,-0.714472727
NGF,0.477964067,TEK,-1.578838062
NGFR,2.02994455,SHC1,-0.559849835
NGFR,2.02994455,SHC2,0.151662673
NGFR,2.02994455,SHC3,NA
NGFR,2.02994455,SHC4,1.266013859
NRAS,-0.466307771,AFDN,NA
NRAS,-0.466307771,BRAP,0.247843626
NRAS,-0.466307771,PIK3CA,-0.22837288
NRAS,-0.466307771,PIK3CB,-0.480031588
NRAS,-0.466307771,PIK3CD,1.780892457
NRAS,-0.466307771,PIK3R1,-0.926754402
NRAS,-0.466307771,PIK3R2,0.594173286
NRAS,-0.466307771,PIK3R3,-1.356576978
NRAS,-0.466307771,PLCE1,1.039105166
NRAS,-0.466307771,RAF1,0.06969736
NRAS,-0.466307771,RALBP1,0.22739864
NRAS,-0.466307771,RALGDS,0.905743152
NRAS,-0.466307771,RAPGEF5,0.120670352
NRAS,-0.466307771,RASSF1,0.788741829
NRAS,-0.466307771,RASSF5,-0.447434291
NRAS,-0.466307771,RGL1,-0.75800198
NRAS,-0.466307771,RGL2,-0.297936955
NRAS,-0.466307771,RIN1,0.256990062
NRAS,-0.466307771,TIAM1,-0.803540494
